Context;Doc Cont;Query Count;Answer
;"documento_259_100.10.001.docx""";1;"Principais pontos da proposta de lei (extraídos do objeto selecionado)
Objetivo geral: criar um regime jurídico que assegure a proteção dos dados pessoais dos cidadãos, alinhado com o Regulamento (UE) 2016/679 (RGPD).
Transparência: reforçar a obrigação de informar titulares sobre tratamentos de dados e procedimentos aplicáveis.
Responsabilização (accountability): impor deveres claros de responsabilidade aos responsáveis pelo tratamento.
Direitos dos titulares: consagração e clarificação de direitos (ex.: acesso, retificação, eliminação, oposição e portabilidade).
Obrigações dos responsáveis pelo tratamento: definir medidas organizacionais e técnicas, limites e condições para o tratamento de dados.
Documentos de suporte exigidos: inclusão de relatório de impacto, análise comparativa com outras legislações, parecer jurídico e minuta do texto final.
Consulta pública: período de consulta pública previsto para recolher contributos de cidadãos e organizações antes da tramitação final.
Tramitação legislativa: submissão da proposta à Assembleia da República (mencionada inclusão na ordem de trabalhos e datas indicadas para apreciação)."
O prazo para a conclusão da consulta pública e entrega da versão final do documento normativo será de seis meses a contar da data deste despacho.;documento_243_100.10.800.docx;1;O prazo para a conclusão da consulta pública e a entrega da versão final do documento normativo é de seis meses a contar da data do despacho (15 de Outubro de 2023). Portanto, o prazo termina em 15 de Abril de 2024.
;documento_167_100.10.600.docx;6;"Principais objetivos (extraídos do regulamento encontrado)
Estabelecer normas e procedimentos claros e uniformes para o funcionamento do serviço (padronização).
Melhorar a eficiência e organização dos serviços prestados (aumentar eficiência operacional).
Garantir a qualidade do atendimento ao público (padrões de qualidade no atendimento).
Assegurar transparência e uniformidade nas práticas internas.
Promover a formação dos colaboradores para correcta aplicação do regulamento.
Publicitar e divulgar o regulamento internamente (circulares/afixação) para garantir a implementação e o cumprimento."
;documento_35_100.10.003.docx;1;Artigo 5.º da Lei n.º 123/2022 — Acórdão n.º 456/2023, datado de 10 de outubro de 2023.
;documento_593_100.10002.docx;1;o Acordo de Cooperação entre Portugal e a República da Argentina foi assinado em 5 de Julho de 2023
;documento_496_100.20.001.docx;3;"Conforme o excerto encontrado que descreve a interpretação do artigo 5.º do Decreto?Lei n.º 123/2022, os trabalhadores que optem pelo teletrabalho têm a obrigação de informar a entidade empregadora sobre a sua intenção de optar pelo teletrabalho. Em particular:

Devem comunicar à entidade empregadora a intenção de adotar o regime de teletrabalho.
A entidade empregadora pode pedir justificações adequadas para essa opção, de modo a garantir a continuidade do serviço público.
A comunicação não deve prejudicar os direitos dos trabalhadores; ou seja, a obrigação é de informar e justificar quando solicitado, respeitando os direitos laborais."
;documento_722_100.20.400.docx;1;"Responsabilidades do empregador, conforme o parecer

Realizar avaliações de risco periódicas e documentadas.
Implementar ações corretivas quando os riscos identificados o exigirem.
Designar um responsável pela segurança do trabalho, assegurando que essa pessoa tenha formação adequada.
Garantir formação contínua dos trabalhadores sobre práticas seguras e uso correto de Equipamentos de Proteção Individual (EPIs); a norma sugere revisão anual da formação.
Submeter-se à fiscalização das autoridades competentes e cumprir as diretrizes da norma sob pena de sanções (advertências a multas, conforme gravidade"
;documento_149_100.20.001.docx;3;"Direito previsto (síntese)
O Artigo 15.º consagra o direito de confirmação: os titulares de dados têm o direito de obter do responsável pelo tratamento a confirmação de que os seus dados pessoais são ou não objeto de tratamento. Este direito deve ser exercido gratuitamente e ser satisfeito sem demora injustificada.

Como deve ser interpretado segundo o parecer técnico-jurídico
Deve ser interpretado de forma ampla, à luz do princípio da transparência do regime de proteção de dados.
O responsável pelo tratamento tem o dever de assegurar que o titular possa exercer o direito de forma acessível e compreensível.
Recomenda-se a adoção de mecanismos práticos para facilitar o exercício do direito (por exemplo, formulários online e serviços de atendimento ao público).
Deve garantir-se a resposta sem demora injustificada e sem custos para o titular.
É recomendada formação/sensibilização do pessoal que lida com pedidos, para assegurar esclarecimento adequado e acompanhamento do titular.
O parecer considera este entendimento vinculativo para a entidade requerente e recomenda ampla divulgação das diretrizes."
;documento_120_100.10.01.02.docx;;Foram recebidas 50 candidaturas válidas para os cursos de Mestrado em Gestão no processo de seleção para o 2.º ciclo de estudos do ano letivo 2023/2024.
;documento_441_100.10.01.docx;1;"rincipais sugestões recebidas (síntese direta):

Reforçar a fiscalização das normas previstas no projeto de lei. Vários contributos pediram mecanismos de fiscalização mais eficazes para garantir cumprimento das medidas de igualdade.
Implementar ações de sensibilização e formação dirigidas às empresas. Foi destacada a necessidade de campanhas e programas para consciencializar empregadores e trabalhadores sobre igualdade de género.
Introduzir incentivos para empresas que adotem políticas de igualdade. A proposta original e os contributos apontam para regimes de incentivos (por exemplo fiscais) para estimular boas práticas.
Realizar auditorias anuais sobre práticas de recrutamento e promoção. Sugeriu-se obrigatoriedade de auditorias regulares para monitorizar progressão na carreira e processos de seleção.
Geral (incorporação no texto final): os contributos foram analisados e muitos foram incorporados na versão final do documento, com nota de que 150 contributos foram recebidos durante a consulta pública (1–31 Outubro de 2023)."
