metric,median_overall,median_true,median_false,n_overall,n_true,n_false
token_recall,0.45972972972972975,0.5161290322580645,0.4444444444444444,298,67,231
jaccard,0.12805605247465712,0.13043478260869565,0.1276595744680851,298,67,231
rouge1_f,0.2171293825370163,0.2199999950980001,0.21621621349890432,298,67,231
overlap,0.36363636363636365,0.34782608695652173,0.36363636363636365,298,67,231
bleu,0.01634057508613198,0.026318802081747056,0.01479659619137854,298,67,231
bert_cos,0.651172548532486,0.664555013179779,0.6498077511787415,298,67,231
context_token_recall,0.3712697274031564,0.4011627906976744,0.358695652173913,298,67,231
context_jaccard,0.125,0.1346153846153846,0.12295081967213115,298,67,231
context_rouge1_f,0.21316943784408104,0.22142856877959188,0.2096774153385146,298,67,231
context_overlap,0.631578947368421,0.6875,0.625,298,67,231
context_bleu,0.0078004756392470904,0.012391434849846318,0.006806386012228054,298,67,231
