metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,n_true,n_false,median_overall,median_true,median_false
token_recall,0.61,0.3283582089552239,0.1471861471861472,0.1811720617690767,0.22791157615605973,0.4474204321554408,0.10727784450657374,0.1986372914829614,0.6174646249273115,,0.07168458781362008,0.29004329004329005,67,231,0.45972972972972975,0.5161290322580645,0.4444444444444444
jaccard,0.2,0.22388059701492538,0.07792207792207792,0.14595851909284746,0.1406360851472927,0.33707192822338217,0.049854888523933695,0.11979818827336286,0.5550171221813013,,0.002775208140610552,0.29004329004329005,67,231,0.12805605247465712,0.13043478260869565,0.1276595744680851
rouge1_f,0.29,0.2835820895522388,0.13852813852813853,0.14505395102410026,0.18970136157200856,0.40093464890770947,0.0998639781541867,0.18901840043631862,0.5315952704012405,,0.003783781599095787,0.29004329004329005,67,231,0.2171293825370163,0.2199999950980001,0.21621621349890432
overlap,0.58,0.19402985074626866,0.08225108225108226,0.1117787684951864,0.11705063857457097,0.3041933762415822,0.053286463104662216,0.12488299239214927,0.5147315371195968,,-0.015810276679841917,0.29004329004329005,67,231,0.36363636363636365,0.34782608695652173,0.36363636363636365
bleu,0.06,0.3283582089552239,0.11688311688311688,0.21147509207210702,0.22791157615605973,0.4474204321554408,0.081583425668776,0.16471705942415474,0.6388188925502358,,0.011522205890368516,0.29004329004329005,67,231,0.01634057508613198,0.026318802081747056,0.01479659619137854
bert_cos,0.71,0.31343283582089554,0.19047619047619047,0.12295664534470507,0.2150519322660779,0.4320480767681618,0.1450617552120511,0.24601716777263305,0.542870065258125,,0.014747262001037598,0.29004329004329005,67,231,0.651172548532486,0.664555013179779,0.6498077511787415
context_token_recall,0.37,0.6268656716417911,0.4675324675324675,0.15933320410932356,0.5071518645751268,0.7328201292815902,0.4042466289582329,0.5318805307954053,0.5898752988305227,,0.04246713852376138,0.29004329004329005,67,231,0.3712697274031564,0.4011627906976744,0.358695652173913
context_jaccard,0.12,0.6865671641791045,0.5411255411255411,0.14544162305356334,0.5679519232318382,0.784948067733922,0.4767162257859335,0.6041893718594582,0.5850617044646895,,0.011664564943253464,0.29004329004329005,67,231,0.125,0.1346153846153846,0.12295081967213115
context_rouge1_f,0.18,0.8059701492537313,0.645021645021645,0.1609485042320863,0.6958066237584177,0.8829493614254289,0.5814026473293057,0.7038960391044438,0.5808619241455062,,0.011751153441077272,0.29004329004329005,67,231,0.21316943784408104,0.22142856877959188,0.2096774153385146
context_overlap,0.72,0.44776119402985076,0.2857142857142857,0.16204690831556506,0.33476201784797566,0.5664259846816114,0.2313343279388358,0.3471049264351762,0.5629643987852944,,0.0625,0.29004329004329005,67,231,0.631578947368421,0.6875,0.625
context_bleu,0.01,0.5671641791044776,0.4155844155844156,0.15157976352006197,0.4480852301650392,0.6789587665826343,0.35391847507693225,0.4800121402825271,0.5986948375008077,,0.005585048837618264,0.29004329004329005,67,231,0.0078004756392470904,0.012391434849846318,0.006806386012228054
