question,gold_answer,generated_answer,expected_file,retrieved_files,retrieved_context,latency_s,exact,substring,token_recall,jaccard,rouge1_f,overlap,bleu,bert_cos,context_exact,context_substring,context_token_recall,context_jaccard,context_rouge1_f,context_overlap,context_bleu,correct_doc_retrieved,retrieval_rank
"Segundo a comunicação de 15/10/2023 da Direcção-Geral da Administração da Justiça, qual foi a norma declarada inconstitucional (artigo e lei), em que Acórdão do Tribunal Constitucional (número e data) essa decisão se baseou, onde foi publicada (série, número e data do Diário da República) e o que o despacho determina quanto à notificação e divulgação da decisão?","Foi declarada inconstitucional a norma do artigo 45.º, n.º 2, da Lei n.º 45/2020, de 30 de Junho. A decisão baseou-se no Acórdão n.º 123/2023, datado de 10 de Outubro de 2023. A publicação ocorreu no Diário da República, 1.ª série, n.º 198, de 14 de Outubro de 2023. O despacho determina: (1) notificar os órgãos competentes e demais entidades relevantes; e (2) divulgar a comunicação nos canais oficiais da Direcção-Geral da Administração da Justiça e enviá-la aos serviços de informação ao público para ampla divulgação.","De acordo com a comunicação da Direção-Geral da Administração da Justiça, a norma declarada inconstitucional foi o artigo 5º do Decreto-Lei n.º 123/2020.

Esta declaração de inconstitucionalidade foi baseada no Acórdão n.º 456/2023 do Tribunal Constitucional, datado de 15 de outubro de 2023.

A publicação oficial da declaração será feita no Diário da República (Série I-A), número e data ainda a determinar.

O despacho determina que esta comunicação seja remetida a todos os órgãos competentes, e que a publicação oficial ocorra conforme trâmites legais.",documento_115_100.10.003.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_535_100.10.003.docx,"Documento Gerado #535
**GOVERNO DA REPÚBLICA**  
**MINISTÉRIO DA JUSTIÇA**  
**DIREÇÃO-GERAL DA ADMINISTRAÇÃO DA JUSTIÇA**  

**DE: Direção-Geral da Administração da Justiça**  
**PARA: Todos os Órgãos e Serviços do Estado**  
**ASSUNTO: Comunicação de Declaração de Inconstitucionalidade**  
**DATA:...",14.943328800029121,False,False,0.5151515151515151,0.18571428571428572,0.24999999636621903,0.65,0.007657118914929622,0.7607141733169556,,,,,,,,False,-1
"No documento de 15 de outubro de 2023, qual é a data do parecer do MNE e qual a sua conclusão sobre encargos financeiros, e que lei é indicada como reguladora do processo de aprovação de tratados internacionais a seguir?","O parecer do MNE é datado de 5 de outubro de 2023 e conclui que a adesão não gera encargos financeiros significativos. O processo deve seguir a Lei n.º 43/2006, de 25 de agosto.","O documento não contém informações sobre pareceres do MNE, encargos financeiros relevantes para a data especificada (15 de outubro de 2023) ou regulamento governamental relacionado ao processo de aprovação de tratados internacionais. O documento trata da emissão de notas de débito para serviços prestados em fevereiro de 2024.",documento_686_100.1003.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_324_100.10.02.docx,"Documento Gerado #324
**DE:** Direção Financeira  
**ASSUNTO:** Emissão de Notas de Débito  
**DATA:** 15 de março de 2024  

---

**INFORMAÇÃO:**  

Nos termos da legislação aplicável e do regulamento interno da nossa entidade, informamos que, em decorrência da prestação de serviços de consultoria ...",8.939601999998558,False,False,0.36666666666666664,0.1875,0.31034482258620694,0.32142857142857145,0.042454574142948946,0.7667019367218018,,,,,,,,False,-1
"Segundo o despacho deste documento, onde o Regulamento Interno do Centro Cultural de Exemplo deve ser publicado e qual é o objetivo dessa divulgação?","Deve ser publicado no Diário da Câmara Municipal e divulgado em todos os meios disponíveis, com o objetivo de garantir o conhecimento e a adesão por parte da população.",O Regulamento Interno do Centro Cultural Municipal deve ser publicado no Diário Oficial do Município e divulgado nos canais de comunicação da entidade. A finalidade é garantir o conhecimento amplo por parte da população e dos colaboradores do Centro Cultural.,documento_423_100.APR.asdf.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_207_100.APR.docx,"Documento Gerado #207
**GOVERNO MUNICIPAL DE EXEMPLO**  
**DIREÇÃO DE ADMINISTRAÇÃO PÚBLICA**  
**DEPARTAMENTO DE GESTÃO DOCUMENTAL**  

**Nº 045/2023**  

**ASSUNTO:** Aprovação do Projeto de Regulamento Interno do Centro Cultural Municipal  

**DATA:** 15 de outubro de 2023  

**INFORMAÇÃO:**  
No...",15.31907389999833,False,False,0.6538461538461539,0.2972972972972973,0.3749999950347223,0.5,0.15292705335458642,0.6988732218742371,,,,,,,,False,-1
"Conforme o Despacho do Documento Gerado #502, qual é o prazo — e a partir de que data — para a entrega do documento final de orientações sobre a Norma Técnica nº 123/2023, e que instruções foram dadas sobre o início dos trabalhos e a consideração de contribuições durante a elaboração?","O prazo é de 30 dias, a contar de 15 de Outubro de 2023. Foi determinado que a equipe técnica inicie os trabalhos imediatamente e que sejam consideradas todas as sugestões e consultas realizadas durante o processo de elaboração.","O prazo para entrega do documento final é de 30 dias, a partir da data de divulgação para consulta pública (15 de outubro de 2023).",documento_502_100.20.400.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_356_100.10.800.docx,"Documento Gerado #356
**MINISTÉRIO DA INFRAESTRUTURA E HABITAÇÃO**  
**DIREÇÃO-GERAL DE NORMATIVAS E REGULAÇÕES**  
**AV. DA LIBERDADE, Nº 123, 4º ANDAR**  
**1000-000 LISBOA**  
**TELEFONE: (+351) 123 456 789**  
**EMAIL: normativas@dgnr.gov.pt**  

**LISBOA, 15 DE OUTUBRO DE 2023**  

**DE:** Dire...",13.195768099976704,False,False,0.3225806451612903,0.18181818181818182,0.2641509386116056,0.38095238095238093,0.1212313178962048,0.7805516719818115,,,,,,,,False,-1
"Segundo o despacho do Documento Gerado #813, onde e quando acontecerá a sessão de discussão pública do projeto de lei e qual será o passo seguinte após a recepção dos contributos?","A sessão de discussão pública ocorrerá no dia 5 de abril de 2023, nas instalações da Direção-Geral da Legislação. Após a recepção dos contributos e eventuais sugestões, o projeto de lei será revisto e reencaminhado para votação na próxima sessão legislativa da Assembleia da República.",Não há informações específicas sobre a sessão de discussão pública ou o próximo passo após a recepção dos contributos no documento fornecido. O despacho determina apenas a remessa do projeto à Assembleia da República e a marcação de uma reunião com os grupos parlamentares interessados para discussão do conteúdo do projeto.,documento_813_100.10.001.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_848_100.10.001.docx,"Documento Gerado #848
**GOVERNO DA REPÚBLICA**

**DEPARTAMENTO DE LEGISLAÇÃO E REGULAÇÃO**  
**Nº 123/2023**  
**ASSUNTO:** Apresentação de Projeto de Lei para Revisão do Código Penal  
**DATA:** 15 de Outubro de 2023  

---

**INFORMAÇÃO**

Em cumprimento das disposições legais aplicáveis e da comp...",12.043322500016075,False,False,0.4594594594594595,0.2391304347826087,0.344827581587396,0.5238095238095238,0.1189814029337227,0.5210128426551819,,,,,,,,False,-1
"De acordo com o Documento Gerado #997 (25 de outubro de 2023) sobre a aplicação do Decreto‑Lei n.º 123/2023, onde estão disponíveis os esquemas sintetizadores e qual é a consequência prevista para os serviços que não cumprirem as orientações?",Os esquemas sintetizadores estão disponíveis no portal institucional da Direção-Geral de Normas e Regulamentações. O não cumprimento das orientações pode resultar em responsabilidades administrativas.,"O Documento Gerado #735 não contém informações sobre esquemas sintetizadores nem detalha as consequências para os serviços que não cumprirem as orientações do Decreto-Lei n.º 123/2023. Este documento trata da declaração de inconstitucionalidade de uma lei específica por parte do Tribunal Constitucional, sem relacionar-se diretamente com o decreto-lei mencionado.",documento_997_100.20.200.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_735_100.10.003.docx,"Documento Gerado #735
**GOVERNO DA REPÚBLICA**

**DE**: Tribunal Constitucional  
**ASSUNTO**: Comunicação de Decisão - Declaração de Inconstitucionalidade  
**DATA**: 15 de outubro de 2023  

---

**À**  
Ministério da Justiça  
Direção-Geral da Política de Justiça  
A/C Sr. Diretor-Geral  
Rua das...",10.57868989999406,False,False,0.32,0.14285714285714285,0.20408162765514384,0.25,0.02022202784230022,0.6091158986091614,,,,,,,,False,-1
"Na Nota de Débito nº 2023/045, a taxa de ocupação de espaço público se refere a qual mês, qual é o valor a pagar e qual o número da autorização vinculada?","Refere-se ao mês de setembro de 2023, no valor de R$ 1.500,00, vinculada à autorização nº 2023/784.","Na Nota de Débito nº 2023/045:

- A taxa de ocupação de espaço público se refere ao mês de setembro de 2023.
- O valor a pagar é de R$ 1.500,00.
- O número da autorização vinculada é 2023/784.",documento_804_100.10.02.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_804_100.10.02.docx,"Documento Gerado #804
**DE:** Departamento de Finanças  
**ASSUNTO:** Emissão de Nota de Débito nº 2023/045  
**DATA:** 10 de outubro de 2023  

**INFORMAÇÃO:**  
Nos termos das disposições legais aplicáveis e considerando a necessidade de regularização de pendências financeiras, a presente nota de ...",7.52061450004112,False,False,0.8888888888888888,0.17857142857142858,0.3076923029585799,0.375,0.17588181044237433,0.7287865281105042,,,,,,,,True,0
"Segundo o Parecer Técnico-Jurídico da Direção Jurídica, datado de 15 de outubro de 2023, quem solicitou o esclarecimento, a quem se aplica o Decreto-Lei n.º 123/2023 e quais são as exceções ao acesso previstas no artigo 5.º e como devem ser interpretadas?","O pedido foi apresentado pela Comissão de Acesso aos Documentos Administrativos (CADA). O Decreto-Lei n.º 123/2023 aplica-se a todos os órgãos e entidades da Administração Pública, incluindo as entidades reguladoras nas suas funções de supervisão e fiscalização, abrangendo como ‘informação pública’ todos os documentos elaborados ou recebidos no exercício das suas funções. O artigo 5.º prevê exceções relativas à proteção de dados pessoais e à defesa da segurança nacional, que devem ser interpretadas de forma restritiva, para não comprometer o princípio da transparência.","O Parecer Técnico-Jurídico da Direção Jurídica, datado de 15 de outubro de 2023, não está presente no documento fornecido. O documento é uma comunicação do Tribunal Constitucional sobre a declaração de inconstitucionalidade da Lei n.º 15/2021, artigo 5.º. Este parecer específico não foi incluído na informação fornecida.

Segundo o texto disponibilizado, o Decreto-Lei n.º 123/2023 não é mencionado diretamente, mas os esclarecimentos solicitados se aplicam à Lei n.º 15/2021, artigo 5.º.

As exceções ao acesso previstas no artigo 5.º são relativas às normas constitucionais e legais de inconstitucionalidade declarada, cuja aplicação é imediata e vinculativa para todas as entidades da administração pública.",documento_199_100.20.001.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_735_100.10.003.docx,"Documento Gerado #735
**GOVERNO DA REPÚBLICA**

**DE**: Tribunal Constitucional  
**ASSUNTO**: Comunicação de Decisão - Declaração de Inconstitucionalidade  
**DATA**: 15 de outubro de 2023  

---

**À**  
Ministério da Justiça  
Direção-Geral da Política de Justiça  
A/C Sr. Diretor-Geral  
Rua das...",11.754749800020363,False,False,0.4057971014492754,0.1566265060240964,0.23999999572200006,0.4482758620689655,0.010323158020188291,0.7693288922309875,,,,,,,,False,-1
"Para o imóvel localizado na Rua da Conceição, nº 32, Lisboa: quem é o proprietário registado; qual o número e a data do registo; em que data foi formalizada a transação de compra e venda; que anexos constam do processo e com base em que artigo do Código do Registo Predial; e, para eventual atualização do registo, quem está autorizado a requerê-la?","O imóvel está registado em nome do Sr. Paulo Ferreira, sob o número de registo 123456789, datado de 15 de Março de 2015. A transação de compra e venda foi formalizada em 12 de Fevereiro de 2015. Consta como anexos a certidão de teor e a planta do imóvel, conforme o artigo 123 do Código do Registo Predial. Qualquer alteração ou atualização ao registo deve ser solicitada diretamente pelo proprietário ou mediante procuração específica, devidamente autenticada.","O proprietário registado é o Sr. Paulo Ferreira. O número do registo é 123456789 e a data é 15 de Março de 2015. A transação de compra e venda foi formalizada em 12 de Fevereiro de 2015. Os anexos constam da certidão de teor e planta do imóvel, conforme o artigo 123 do Código do Registo Predial. Para atualização do registo, só podem requerê-la o proprietário ou mediante procuração específica, devidamente autenticada.",documento_250_100.10.5.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_250_100.10.5.docx,"Documento Gerado #250
**GOVERNO DA REPÚBLICA**  
**MINISTÉRIO DA JUSTIÇA**  
**DIREÇÃO-GERAL DOS REGISTOS E DO NOTARIADO**  

**DE:** Direção-Geral dos Registos e do Notariado  
**ASSUNTO:** Solicitação de Informação sobre Registo de Propriedade  
**DATA:** 15 de Outubro de 2023  

---

**À**  
**Câ...",52.08789780002553,False,False,0.7454545454545455,0.2542372881355932,0.389610386027998,1.0,0.0428093610342869,0.7164613604545593,,,,,,,,True,0
"No documento do Departamento de Educação Superior sobre o 2º ciclo de estudos 2023/2024, qual foi a data-limite de submissão das candidaturas, quantas foram recebidas e quantas consideradas elegíveis, quais os critérios de avaliação utilizados e quem foram os candidatos aprovados com os respetivos mestrados?","Data-limite de submissão: 28 de fevereiro de 2023.
Candidaturas recebidas: 150.
Candidaturas elegíveis: 120.
Critérios de avaliação: (1) Cumprimento dos requisitos académicos mínimos para acesso ao 2º ciclo de estudos; (2) Qualidade do projeto de investigação apresentado; (3) Relevância da experiência prévia na área de estudo.
Candidatos aprovados: Maria Silva – Mestrado em Biologia Molecular; João Pereira – Mestrado em Gestão de Projetos; Ana Costa – Mestrado em Psicologia Clínica; Luís Almeida – Mestrado em Engenharia Informática; Sofia Martins – Mestrado em Educação e Ensino.","Data-limite de submissão: Não especificada no documento, mas o período de candidaturas foi analisado até ao dia 30 de abril de 2023.

Candidaturas recebidas: 150

Candidaturas consideradas válidas: 120

Critérios de avaliação:
- Mérito académico
- Experiência profissional relevante 
- Motivação demonstrada nas cartas de apresentação

Candidatos aprovados e respectivos mestrados não listados no documento.",documento_486_100.10.01.02.docx,C:\Users\Francisco Azeredo\Downloads\gerador_documentos_gpt_azure (1)\gerador_documentos_gpt_azure\documentos_gerados\documento_619_100.10.01.02.docx,"Documento Gerado #619
**[Cabeçalho da Entidade]**  
**Instituto de Educação e Formação**  
**Rua das Instituições, nº 10**  
**1234-567 Lisboa**  
**Telefone: 21 123 4567**  
**Email: info@educacao.gov.pt**  

**DATA:** 15 de março de 2023  

**ASSUNTO:** Análise de Candidaturas para o 2º Ciclo de F...",8.623183500021696,False,False,0.24615384615384617,0.09302325581395349,0.19148935743549125,0.3157894736842105,0.008647703226931173,0.7337101697921753,,,,,,,,False,-1
