source_file,metric,median_overall,median_true,median_false,n_overall,n_true,n_false
AgentOpenAI_300,token_recall,0.7564271588661833,0.8382737576285963,0.5094371418941692,298,180,118
AgentOpenAI_300,bert_cos,0.7415458559989929,0.7960936725139618,0.6641967594623566,298,180,118
weaviateNaive1_300,bert_cos,0.6829400062561035,0.7953117489814758,0.6691088676452637,298,41,257
AgentOpenAI_300,overlap,0.6666666666666666,0.7735042735042735,0.430952380952381,298,180,118
weaviateNaive1AI,bert_cos,0.6584690809249878,0.7965174615383148,0.6456174254417419,298,40,258
weaviateNaive1_300,overlap,0.47619047619047616,0.7857142857142857,0.44,298,41,257
weaviateNaive1_300,token_recall,0.45553359683794464,0.875,0.41379310344827586,298,41,257
weaviateNaive1AI,overlap,0.4444444444444444,0.7752525252525253,0.4,298,40,258
AgentOpenAI_300,rouge1_f,0.4318181771758781,0.5515030896812703,0.28950584498222776,298,180,118
weaviateNaive1AI,token_recall,0.43050193050193053,0.7240143369175627,0.39619252873563215,298,40,258
AgentOpenAI_300,bleu,0.32296734500878316,0.45261438127125597,0.24277024933800945,298,180,118
weaviateNaive1_300,rouge1_f,0.29300812602847937,0.5283018818369528,0.2727272680991736,298,41,257
AgentOpenAI_300,jaccard,0.2857142857142857,0.39472517730496454,0.17534816422499547,298,180,118
weaviateNaive1AI,rouge1_f,0.2328251414198677,0.5135802419829143,0.21874999566406259,298,40,258
weaviateNaive1_300,jaccard,0.17620967741935484,0.37209302325581395,0.16279069767441862,298,41,257
weaviateNaive1AI,jaccard,0.1457513768686074,0.343265306122449,0.1323642664613015,298,40,258
weaviateNaive1_300,bleu,0.029313138704858098,0.20451020613638618,0.020924104386858062,298,41,257
weaviateNaive1AI,bleu,0.017925618290037974,0.19695771626418496,0.01398180340625069,298,40,258
