metric,source_file,best_threshold,true_pass_rate,false_pass_rate,difference,median_false,median_true,median_overall,auc,doc_retrieved_pct
bert_cos,AgentOpenAI_300,0.71,0.4899328859060403,0.12080536912751678,0.3691275167785235,0.6641967594623566,0.7960936725139618,0.7415458559989929,0.8561676082862524,0.6040268456375839
bert_cos,weaviateNaive1AI,0.8,0.06711409395973154,0.013422818791946308,0.053691275167785234,0.6456174254417419,0.7965174615383148,0.6584690809249878,0.8705426356589148,0.1342281879194631
bert_cos,weaviateNaive1_300,0.83,0.04697986577181208,0.013422818791946308,0.03355704697986577,0.6691088676452637,0.7953117489814758,0.6829400062561035,0.8947518268957009,0.13758389261744966
bert_cos,weaviateCoT1_300,0.85,0.006711409395973154,0.0,0.006711409395973154,0.6366986632347107,0.7662696242332458,0.6404599249362946,0.8972158258321122,0.05704697986577181
bert_cos,weaviateCoT_3_300,0.8,0.003355704697986577,0.003355704697986577,0.0,0.6064321994781494,0.6096147000789642,0.6065701246261597,0.5806878306878307,0.09395973154362416
bert_cos,weaviateNaive3_300,0.85,0.0,0.0,0.0,0.6571991443634033,0.6572206020355225,0.6572098731994629,0.5140531110680364,0.22483221476510068
jaccard,AgentOpenAI_300,0.26,0.5369127516778524,0.020134228187919462,0.5167785234899329,0.17534816422499547,0.39472517730496454,0.2857142857142857,0.9625706214689266,0.6040268456375839
jaccard,weaviateNaive1AI,0.32,0.0738255033557047,0.010067114093959731,0.06375838926174497,0.1323642664613015,0.343265306122449,0.1457513768686074,0.9175872093023256,0.1342281879194631
jaccard,weaviateNaive1_300,0.4,0.06040268456375839,0.003355704697986577,0.05704697986577181,0.16279069767441862,0.37209302325581395,0.17620967741935484,0.9378380943342507,0.13758389261744966
jaccard,weaviateCoT1_300,0.29,0.04697986577181208,0.020134228187919462,0.02684563758389262,0.13636363636363635,0.375,0.1409353557240881,0.9850324471425581,0.05704697986577181
jaccard,weaviateNaive3_300,0.27,0.02348993288590604,0.010067114093959731,0.01342281879194631,0.12658227848101267,0.12727272727272726,0.12658227848101267,0.5189636234412354,0.22483221476510068
jaccard,weaviateCoT_3_300,0.26,0.010067114093959731,0.0,0.010067114093959731,0.1111111111111111,0.13759296822177147,0.11263138818412469,0.6345899470899471,0.09395973154362416
overlap,AgentOpenAI_300,0.56,0.5604026845637584,0.07718120805369127,0.48322147651006714,0.430952380952381,0.7735042735042735,0.6666666666666666,0.9466337099811676,0.6040268456375839
overlap,weaviateNaive1AI,0.76,0.0738255033557047,0.016778523489932886,0.05704697986577181,0.4,0.7752525252525253,0.4444444444444444,0.9333817829457365,0.1342281879194631
overlap,weaviateNaive1_300,0.83,0.06711409395973154,0.026845637583892617,0.040268456375838924,0.44,0.7857142857142857,0.47619047619047616,0.8896744804023916,0.13758389261744966
overlap,weaviateNaive3_300,0.81,0.010067114093959731,0.0,0.010067114093959731,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.5047166763584674,0.22483221476510068
overlap,weaviateCoT1_300,0.77,0.03355704697986577,0.026845637583892617,0.006711409395973155,0.3888888888888889,0.8181818181818182,0.4,0.9582373874816831,0.05704697986577181
overlap,weaviateCoT_3_300,0.67,0.016778523489932886,0.010067114093959731,0.006711409395973155,0.36363636363636365,0.4,0.36363636363636365,0.6056216931216931,0.09395973154362416
token_recall,AgentOpenAI_300,0.67,0.5671140939597316,0.0436241610738255,0.5234899328859061,0.5094371418941692,0.8382737576285963,0.7564271588661833,0.9659604519774011,0.6040268456375839
token_recall,weaviateNaive1_300,0.77,0.11073825503355705,0.006711409395973154,0.1040268456375839,0.41379310344827586,0.875,0.45553359683794464,0.9875676188668502,0.13758389261744966
token_recall,weaviateNaive1AI,0.66,0.09731543624161074,0.030201342281879196,0.06711409395973154,0.39619252873563215,0.7240143369175627,0.43050193050193053,0.9559593023255814,0.1342281879194631
token_recall,weaviateCoT1_300,0.7,0.050335570469798654,0.006711409395973154,0.0436241610738255,0.34,0.8285714285714286,0.3495887191539365,0.9965459493405904,0.05704697986577181
token_recall,weaviateNaive3_300,0.71,0.0436241610738255,0.016778523489932886,0.026845637583892617,0.4583333333333333,0.5,0.4666666666666667,0.5925243910318537,0.22483221476510068
token_recall,weaviateCoT_3_300,0.77,0.016778523489932886,0.003355704697986577,0.013422818791946308,0.4,0.5166666666666666,0.4079290558163797,0.7468915343915344,0.09395973154362416
