metric,median_overall,median_true,median_false,n_overall,n_true,n_false,source_file,label
token_recall,0.7564271588661833,0.8382737576285963,0.5094371418941692,298,180,118,AgentOpenAI_300,token_recall | AgentOpenAI_300
bert_cos,0.7415458559989929,0.7960936725139618,0.6641967594623566,298,180,118,AgentOpenAI_300,bert_cos | AgentOpenAI_300
bert_cos,0.6829400062561035,0.7953117489814758,0.6691088676452637,298,41,257,weaviateNaive1_300,bert_cos | weaviateNaive1_300
overlap,0.6666666666666666,0.7735042735042735,0.430952380952381,298,180,118,AgentOpenAI_300,overlap | AgentOpenAI_300
bert_cos,0.6584690809249878,0.7965174615383148,0.6456174254417419,298,40,258,weaviateNaive1AI,bert_cos | weaviateNaive1AI
bert_cos,0.6572098731994629,0.6572206020355225,0.6571991443634033,298,67,231,weaviateNaive3_300,bert_cos | weaviateNaive3_300
bert_cos,0.6404599249362946,0.7662696242332458,0.6366986632347107,298,17,281,weaviateCoT1_300,bert_cos | weaviateCoT1_300
bert_cos,0.6065701246261597,0.6096147000789642,0.6064321994781494,298,28,270,weaviateCoT_3_300,bert_cos | weaviateCoT_3_300
overlap,0.47619047619047616,0.7857142857142857,0.44,298,41,257,weaviateNaive1_300,overlap | weaviateNaive1_300
token_recall,0.4666666666666667,0.5,0.4583333333333333,298,67,231,weaviateNaive3_300,token_recall | weaviateNaive3_300
token_recall,0.45553359683794464,0.875,0.41379310344827586,298,41,257,weaviateNaive1_300,token_recall | weaviateNaive1_300
overlap,0.4444444444444444,0.7752525252525253,0.4,298,40,258,weaviateNaive1AI,overlap | weaviateNaive1AI
token_recall,0.43050193050193053,0.7240143369175627,0.39619252873563215,298,40,258,weaviateNaive1AI,token_recall | weaviateNaive1AI
token_recall,0.4079290558163797,0.5166666666666666,0.4,298,28,270,weaviateCoT_3_300,token_recall | weaviateCoT_3_300
overlap,0.4,0.8181818181818182,0.3888888888888889,298,17,281,weaviateCoT1_300,overlap | weaviateCoT1_300
overlap,0.38461538461538464,0.38461538461538464,0.38461538461538464,298,67,231,weaviateNaive3_300,overlap | weaviateNaive3_300
overlap,0.36363636363636365,0.4,0.36363636363636365,298,28,270,weaviateCoT_3_300,overlap | weaviateCoT_3_300
token_recall,0.3495887191539365,0.8285714285714286,0.34,298,17,281,weaviateCoT1_300,token_recall | weaviateCoT1_300
jaccard,0.2857142857142857,0.39472517730496454,0.17534816422499547,298,180,118,AgentOpenAI_300,jaccard | AgentOpenAI_300
jaccard,0.17620967741935484,0.37209302325581395,0.16279069767441862,298,41,257,weaviateNaive1_300,jaccard | weaviateNaive1_300
jaccard,0.1457513768686074,0.343265306122449,0.1323642664613015,298,40,258,weaviateNaive1AI,jaccard | weaviateNaive1AI
jaccard,0.1409353557240881,0.375,0.13636363636363635,298,17,281,weaviateCoT1_300,jaccard | weaviateCoT1_300
jaccard,0.12658227848101267,0.12727272727272726,0.12658227848101267,298,67,231,weaviateNaive3_300,jaccard | weaviateNaive3_300
jaccard,0.11263138818412469,0.13759296822177147,0.1111111111111111,298,28,270,weaviateCoT_3_300,jaccard | weaviateCoT_3_300
