metric,median_overall,median_true,median_false,n_overall,n_true,n_false
token_recall,0.4644421975058982,0.5111111111111111,0.4507042253521127,298,67,231
jaccard,0.125,0.1282051282051282,0.125,298,67,231
rouge1_f,0.20536783656671972,0.22222221741126555,0.20454545103305788,298,67,231
overlap,0.3783783783783784,0.375,0.38095238095238093,298,67,231
bleu,0.014455770094962444,0.02102316221229827,0.013052367971209011,298,67,231
bert_cos,0.6480508744716644,0.6459157466888428,0.650432288646698,298,67,231
context_token_recall,0.3712697274031564,0.4011627906976744,0.358695652173913,298,67,231
context_jaccard,0.125,0.1346153846153846,0.12295081967213115,298,67,231
context_rouge1_f,0.21316943784408104,0.22142856877959188,0.2096774153385146,298,67,231
context_overlap,0.631578947368421,0.6875,0.625,298,67,231
context_bleu,0.0078004756392470904,0.012391434849846318,0.006806386012228054,298,67,231
