metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,n_true,n_false,median_overall,median_true,median_false
token_recall,0.53,0.44776119402985076,0.27705627705627706,0.1707049169735737,0.33476201784797566,0.5664259846816114,0.22334650464875072,0.3380599923262315,0.5985656134909866,0.03079384123175365,0.060406885758998385,0.29004329004329005,67,231,0.4644421975058982,0.5111111111111111,0.4507042253521127
jaccard,0.2,0.22388059701492538,0.09523809523809523,0.12864250177683015,0.1406360851472927,0.33707192822338217,0.06373586995411137,0.1399827216412448,0.5532079860438069,0.10237952409518096,0.0032051282051281937,0.29004329004329005,67,231,0.125,0.1282051282051282,0.125
rouge1_f,0.3,0.2835820895522388,0.11255411255411256,0.17102797699812622,0.18970136157200856,0.40093464890770947,0.07797597437375121,0.1598081320196646,0.5517542159333204,0.026794641071785644,0.01767676637820767,0.29004329004329005,67,231,0.20536783656671972,0.22222221741126555,0.20454545103305788
overlap,0.57,0.1791044776119403,0.1038961038961039,0.07520837371583639,0.10553487941259442,0.28747713612629794,0.07081601415348052,0.1499353348409055,0.4703430897460748,0.4237152569486103,-0.005952380952380931,0.29004329004329005,67,231,0.3783783783783784,0.375,0.38095238095238093
bleu,0.07,0.31343283582089554,0.09090909090909091,0.22252374491180463,0.2150519322660779,0.4320480767681618,0.060228584415702204,0.13497362848013908,0.6217936292563159,0.0013997200559888023,0.00797079424108926,0.29004329004329005,67,231,0.014455770094962444,0.02102316221229827,0.013052367971209011
bert_cos,0.76,0.11940298507462686,0.047619047619047616,0.07178393745557925,0.06176158770587534,0.21832243072397375,0.026794513517255675,0.08324391238343652,0.48530076888285845,0.47390521895620874,-0.004516541957855225,0.29004329004329005,67,231,0.6480508744716644,0.6459157466888428,0.650432288646698
context_token_recall,0.37,0.6268656716417911,0.4675324675324675,0.15933320410932356,0.5071518645751268,0.7328201292815902,0.4042466289582329,0.5318805307954053,0.5898752988305227,0.04939012197560488,0.04246713852376138,0.29004329004329005,67,231,0.3712697274031564,0.4011627906976744,0.358695652173913
context_jaccard,0.12,0.6865671641791045,0.5411255411255411,0.14544162305356334,0.5679519232318382,0.784948067733922,0.4767162257859335,0.6041893718594582,0.5850617044646895,0.052789442111577684,0.011664564943253464,0.29004329004329005,67,231,0.125,0.1346153846153846,0.12295081967213115
context_rouge1_f,0.18,0.8059701492537313,0.645021645021645,0.1609485042320863,0.6958066237584177,0.8829493614254289,0.5814026473293057,0.7038960391044438,0.5808619241455062,0.03739252149570086,0.011751153441077272,0.29004329004329005,67,231,0.21316943784408104,0.22142856877959188,0.2096774153385146
context_overlap,0.72,0.44776119402985076,0.2857142857142857,0.16204690831556506,0.33476201784797566,0.5664259846816114,0.2313343279388358,0.3471049264351762,0.5629643987852944,0.041191761647670466,0.0625,0.29004329004329005,67,231,0.631578947368421,0.6875,0.625
context_bleu,0.01,0.5671641791044776,0.4155844155844156,0.15157976352006197,0.4480852301650392,0.6789587665826343,0.35391847507693225,0.4800121402825271,0.5986948375008077,0.02459508098380324,0.005585048837618264,0.29004329004329005,67,231,0.0078004756392470904,0.012391434849846318,0.006806386012228054
