source_file,metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,class_balance_ratio,doc_retrieved_pct,overall_pass_rate,avg_pass_rate,n_true,n_false,median_overall,median_true,median_false
AgentOpenAI_300,bert_cos,0.71,0.4899328859060403,0.12080536912751678,0.3691275167785235,0.4178799203062429,0.5624065813678859,0.07367030562857335,0.19185203743072626,0.8561676082862524,0.001996007984031936,0.13189691305160522,0.6555555555555556,0.6040268456375839,0.610738255033557,0.610738255033557,180,118,0.7415458559989929,0.7960936725139618,0.6641967594623566
AgentOpenAI_300,token_recall,0.67,0.5671140939597316,0.0436241610738255,0.5234899328859061,0.49407433659623934,0.6373489855762361,0.01899428206023762,0.0970326087013973,0.9659604519774011,0.001996007984031936,0.32883661573442713,0.6555555555555556,0.6040268456375839,0.610738255033557,0.610738255033557,180,118,0.7564271588661833,0.8382737576285963,0.5094371418941692
MixedSynthetic,bert_cos,0.64,0.76,0.085,0.675,0.6884616766093512,0.8194198290300021,0.030786081649890204,0.2136398968383082,0.8520465042204173,0.001996007984031936,0.13413846492767334,0.2422360248447205,0.805,0.845,0.845,161,39,0.749114453792572,0.7703970670700073,0.636258602142334
Total_358_Mixed,token_recall,0.64,0.7793296089385475,0.036312849162011177,0.7430167597765364,0.7297321233089702,0.8220449298684933,0.009468681847280405,0.1293252045937079,0.8650974025974026,0.001996007984031936,0.3392773892773894,0.16233766233766234,0.8603351955307262,0.8156424581005587,0.8156424581005587,308,50,0.8716540837336995,0.8923076923076924,0.553030303030303
MixedSynthetic,token_recall,0.63,0.78,0.055,0.725,0.7099004227795043,0.837048890985953,0.01582814051708438,0.17397802918712835,0.9466475553432075,0.001996007984031936,0.27997364953886694,0.2422360248447205,0.805,0.835,0.835,161,39,0.7864741641337386,0.8405797101449275,0.5606060606060606
AgentOpenAI_300,overlap,0.56,0.5604026845637584,0.07718120805369127,0.48322147651006714,0.48738106398151165,0.6308999259737162,0.04128456807420025,0.13974034542554972,0.9466337099811676,0.001996007984031936,0.34255189255189256,0.6555555555555556,0.6040268456375839,0.6375838926174496,0.6375838926174496,180,118,0.6666666666666666,0.7735042735042735,0.430952380952381
MixedSynthetic,overlap,0.54,0.78,0.045,0.735,0.7099004227795043,0.837048890985953,0.011515301273828202,0.1600842655023893,0.9388437649307214,0.001996007984031936,0.28616852146263916,0.2422360248447205,0.805,0.825,0.825,161,39,0.7182539682539683,0.7567567567567568,0.47058823529411764
Total_358_Mixed,overlap,0.49,0.7262569832402235,0.061452513966480445,0.664804469273743,0.6739026126524186,0.7730368004213268,0.021368669518282604,0.16411711464578466,0.7967532467532468,0.001996007984031936,0.27077875684686825,0.16233766233766234,0.8603351955307262,0.7877094972067039,0.7877094972067039,308,50,0.7,0.7368421052631579,0.4660633484162896
AgentOpenAI_300,rouge1_f,0.4,0.5234899328859061,0.026845637583892617,0.4966442953020134,0.4507995431542442,0.5951986196061223,0.009417976824294613,0.07410990256828276,0.9667608286252354,0.001996007984031936,0.2619972446990425,0.6555555555555556,0.6040268456375839,0.5503355704697986,0.5503355704697986,180,118,0.4318181771758781,0.5515030896812703,0.28950584498222776
AgentOpenAI_300,bleu,0.37,0.3926174496644295,0.013422818791946308,0.37919463087248323,0.32423455840528637,0.465488126118753,0.0032125125065319317,0.05431615779079943,0.7904425612052731,0.001996007984031936,0.20984413193324652,0.6555555555555556,0.6040268456375839,0.40604026845637586,0.40604026845637586,180,118,0.32296734500878316,0.45261438127125597,0.24277024933800945
MixedSynthetic,rouge1_f,0.28,0.795,0.095,0.7000000000000001,0.7261140881357062,0.8501360817243293,0.03629924679451492,0.2263333346216787,0.9147953495779583,0.001996007984031936,0.2523431873995144,0.2422360248447205,0.805,0.89,0.89,161,39,0.47999999550577777,0.5263157852527702,0.27397259785325584
AgentOpenAI_300,jaccard,0.26,0.5369127516778524,0.020134228187919462,0.5167785234899329,0.46405684378407486,0.6082259834107866,0.006093023599389801,0.06443525124556457,0.9625706214689266,0.001996007984031936,0.21937701307996907,0.6555555555555556,0.6040268456375839,0.5570469798657718,0.5570469798657718,180,118,0.2857142857142857,0.39472517730496454,0.17534816422499547
MixedLiHua,bert_cos,0.21,0.9240506329113924,0.05063291139240506,0.8734177215189873,0.8696163022401587,0.9568857109707153,0.005791186524348041,0.32810300619294064,0.6542980828695114,0.001996007984031936,0.2618667483329773,0.07482993197278912,0.930379746835443,0.9746835443037974,0.9746835443037974,147,11,0.7085409760475159,0.7185739278793335,0.4567071795463562
Total_358_Mixed,bert_cos,0.21,0.8575418994413407,0.13128491620111732,0.7262569832402235,0.8140944498615437,0.8921801782056094,0.06362724833291976,0.25155825172858903,0.7197402597402598,0.001996007984031936,0.11853766441345215,0.16233766233766234,0.8603351955307262,0.9888268156424581,0.9888268156424581,308,50,0.7373674809932709,0.753484457731247,0.6349467933177948
MixedSynthetic,jaccard,0.18,0.79,0.09,0.7000000000000001,0.720696092311934,0.8457871255165753,0.033514440177750765,0.22001483977444522,0.9133620003185221,0.001996007984031936,0.19938107869142352,0.2422360248447205,0.805,0.88,0.88,161,39,0.3354166666666667,0.3717948717948718,0.1724137931034483
MixedLiHua,token_recall,0.01,0.8670886075949367,0.056962025316455694,0.810126582278481,0.8027627678340918,0.9127165868857692,0.0071546224072372155,0.3361213422436108,0.7473716759431045,0.001996007984031936,0.5,0.07482993197278912,0.930379746835443,0.9240506329113924,0.9240506329113924,147,11,1.0,1.0,0.5
