metric,source_file,best_threshold,true_pass_rate,false_pass_rate,difference,median_false,median_true,median_overall,auc,doc_retrieved_pct
bert_cos,Agent_OpenAI_MixedLiHua,0.21,0.9240506329113924,0.05063291139240506,0.8734177215189873,0.4567071795463562,0.7185739278793335,0.7085409760475159,0.6542980828695114,0.930379746835443
bert_cos,AgentOpenAI_Mixed,0.21,0.8575418994413407,0.13128491620111732,0.7262569832402235,0.6349467933177948,0.753484457731247,0.7373674809932709,0.7197402597402598,0.8603351955307262
bert_cos,Agent_OpenAI_MixedSynthetic,0.64,0.76,0.085,0.675,0.636258602142334,0.7703970670700073,0.749114453792572,0.8520465042204173,0.805
bert_cos,AgentOpenAI_300,0.71,0.4899328859060403,0.12080536912751678,0.3691275167785235,0.6641967594623566,0.7960936725139618,0.7415458559989929,0.8561676082862524,0.6040268456375839
jaccard,Agent_OpenAI_MixedLiHua,0.01,0.7531645569620253,0.05063291139240506,0.7025316455696202,0.045454545454545456,0.15789473684210525,0.15707236842105263,0.6434755720470006,0.930379746835443
jaccard,Agent_OpenAI_MixedSynthetic,0.18,0.79,0.09,0.7000000000000001,0.1724137931034483,0.3717948717948718,0.3354166666666667,0.9133620003185221,0.805
jaccard,AgentOpenAI_Mixed,0.01,0.7821229050279329,0.13128491620111732,0.6508379888268156,0.17165178571428572,0.29520697167755994,0.2727272727272727,0.7135389610389611,0.8603351955307262
jaccard,AgentOpenAI_300,0.26,0.5369127516778524,0.020134228187919462,0.5167785234899329,0.17534816422499547,0.39472517730496454,0.2857142857142857,0.9625706214689266,0.6040268456375839
overlap,Agent_OpenAI_MixedSynthetic,0.54,0.78,0.045,0.735,0.47058823529411764,0.7567567567567568,0.7182539682539683,0.9388437649307214,0.805
overlap,Agent_OpenAI_MixedLiHua,0.01,0.7531645569620253,0.05063291139240506,0.7025316455696202,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6811997526283241,0.930379746835443
overlap,AgentOpenAI_Mixed,0.49,0.7262569832402235,0.061452513966480445,0.664804469273743,0.4660633484162896,0.7368421052631579,0.7,0.7967532467532468,0.8603351955307262
overlap,AgentOpenAI_300,0.56,0.5604026845637584,0.07718120805369127,0.48322147651006714,0.430952380952381,0.7735042735042735,0.6666666666666666,0.9466337099811676,0.6040268456375839
token_recall,Agent_OpenAI_MixedLiHua,0.01,0.8670886075949367,0.056962025316455694,0.810126582278481,0.5,1.0,1.0,0.7473716759431045,0.930379746835443
token_recall,AgentOpenAI_Mixed,0.64,0.7793296089385475,0.036312849162011177,0.7430167597765364,0.553030303030303,0.8923076923076924,0.8716540837336995,0.8650974025974026,0.8603351955307262
token_recall,Agent_OpenAI_MixedSynthetic,0.63,0.78,0.055,0.725,0.5606060606060606,0.8405797101449275,0.7864741641337386,0.9466475553432075,0.805
token_recall,AgentOpenAI_300,0.67,0.5671140939597316,0.0436241610738255,0.5234899328859061,0.5094371418941692,0.8382737576285963,0.7564271588661833,0.9659604519774011,0.6040268456375839
