metric,median_overall,median_true,median_false,n_overall,n_true,n_false,source_file,label
token_recall,1.0,1.0,0.5,158,147,11,Agent_OpenAI_MixedLiHua,token_recall | Agent_OpenAI_MixedLiHua
token_recall,0.8716540837336995,0.8923076923076924,0.553030303030303,358,308,50,AgentOpenAI_Mixed,token_recall | AgentOpenAI_Mixed
token_recall,0.7864741641337386,0.8405797101449275,0.5606060606060606,200,161,39,Agent_OpenAI_MixedSynthetic,token_recall | Agent_OpenAI_MixedSynthetic
token_recall,0.7564271588661833,0.8382737576285963,0.5094371418941692,298,180,118,AgentOpenAI_300,token_recall | AgentOpenAI_300
bert_cos,0.749114453792572,0.7703970670700073,0.636258602142334,200,161,39,Agent_OpenAI_MixedSynthetic,bert_cos | Agent_OpenAI_MixedSynthetic
bert_cos,0.7415458559989929,0.7960936725139618,0.6641967594623566,298,180,118,AgentOpenAI_300,bert_cos | AgentOpenAI_300
bert_cos,0.7373674809932709,0.753484457731247,0.6349467933177948,358,308,50,AgentOpenAI_Mixed,bert_cos | AgentOpenAI_Mixed
overlap,0.7182539682539683,0.7567567567567568,0.47058823529411764,200,161,39,Agent_OpenAI_MixedSynthetic,overlap | Agent_OpenAI_MixedSynthetic
bert_cos,0.7085409760475159,0.7185739278793335,0.4567071795463562,158,147,11,Agent_OpenAI_MixedLiHua,bert_cos | Agent_OpenAI_MixedLiHua
overlap,0.7,0.7368421052631579,0.4660633484162896,358,308,50,AgentOpenAI_Mixed,overlap | AgentOpenAI_Mixed
overlap,0.6666666666666666,0.7735042735042735,0.430952380952381,298,180,118,AgentOpenAI_300,overlap | AgentOpenAI_300
overlap,0.6666666666666666,0.6666666666666666,0.16666666666666666,158,147,11,Agent_OpenAI_MixedLiHua,overlap | Agent_OpenAI_MixedLiHua
jaccard,0.3354166666666667,0.3717948717948718,0.1724137931034483,200,161,39,Agent_OpenAI_MixedSynthetic,jaccard | Agent_OpenAI_MixedSynthetic
jaccard,0.2857142857142857,0.39472517730496454,0.17534816422499547,298,180,118,AgentOpenAI_300,jaccard | AgentOpenAI_300
jaccard,0.2727272727272727,0.29520697167755994,0.17165178571428572,358,308,50,AgentOpenAI_Mixed,jaccard | AgentOpenAI_Mixed
jaccard,0.15707236842105263,0.15789473684210525,0.045454545454545456,158,147,11,Agent_OpenAI_MixedLiHua,jaccard | Agent_OpenAI_MixedLiHua
