metric,best_threshold,true_pass_rate,false_pass_rate,difference,tpr_ci_low,tpr_ci_high,fpr_ci_low,fpr_ci_high,auc,p_value,median_gap,n_true,n_false,class_balance_ratio,median_overall,median_true,median_false,overall_pass_rate,doc_retrieved_pct,source_file,avg_pass_rate,label
bert_cos,0.71,0.4899328859060403,0.12080536912751678,0.3691275167785235,0.4178799203062429,0.5624065813678859,0.07367030562857335,0.19185203743072626,0.8561676082862524,0.001996007984031936,0.13189691305160522,180,118,0.6555555555555556,0.7415458559989929,0.7960936725139618,0.6641967594623566,0.610738255033557,0.6040268456375839,AgentOpenAI_300,0.610738255033557,bert_cos | AgentOpenAI_300
token_recall,0.67,0.5671140939597316,0.0436241610738255,0.5234899328859061,0.49407433659623934,0.6373489855762361,0.01899428206023762,0.0970326087013973,0.9659604519774011,0.001996007984031936,0.32883661573442713,180,118,0.6555555555555556,0.7564271588661833,0.8382737576285963,0.5094371418941692,0.610738255033557,0.6040268456375839,AgentOpenAI_300,0.610738255033557,token_recall | AgentOpenAI_300
token_recall,0.64,0.7793296089385475,0.036312849162011177,0.7430167597765364,0.7297321233089702,0.8220449298684933,0.009468681847280405,0.1293252045937079,0.8650974025974026,0.001996007984031936,0.3392773892773894,308,50,0.16233766233766234,0.8716540837336995,0.8923076923076924,0.553030303030303,0.8156424581005587,0.8603351955307262,AgentOpenAI_Mixed,0.8156424581005587,token_recall | AgentOpenAI_Mixed
bert_cos,0.64,0.76,0.085,0.675,0.6884616766093512,0.8194198290300021,0.030786081649890204,0.2136398968383082,0.8520465042204173,0.001996007984031936,0.13413846492767334,161,39,0.2422360248447205,0.749114453792572,0.7703970670700073,0.636258602142334,0.845,0.805,Agent_OpenAI_MixedSynthetic,0.845,bert_cos | Agent_OpenAI_MixedSynthetic
token_recall,0.63,0.78,0.055,0.725,0.7099004227795043,0.837048890985953,0.01582814051708438,0.17397802918712835,0.9466475553432075,0.001996007984031936,0.27997364953886694,161,39,0.2422360248447205,0.7864741641337386,0.8405797101449275,0.5606060606060606,0.835,0.805,Agent_OpenAI_MixedSynthetic,0.835,token_recall | Agent_OpenAI_MixedSynthetic
overlap,0.56,0.5604026845637584,0.07718120805369127,0.48322147651006714,0.48738106398151165,0.6308999259737162,0.04128456807420025,0.13974034542554972,0.9466337099811676,0.001996007984031936,0.34255189255189256,180,118,0.6555555555555556,0.6666666666666666,0.7735042735042735,0.430952380952381,0.6375838926174496,0.6040268456375839,AgentOpenAI_300,0.6375838926174496,overlap | AgentOpenAI_300
overlap,0.54,0.78,0.045,0.735,0.7099004227795043,0.837048890985953,0.011515301273828202,0.1600842655023893,0.9388437649307214,0.001996007984031936,0.28616852146263916,161,39,0.2422360248447205,0.7182539682539683,0.7567567567567568,0.47058823529411764,0.825,0.805,Agent_OpenAI_MixedSynthetic,0.825,overlap | Agent_OpenAI_MixedSynthetic
overlap,0.49,0.7262569832402235,0.061452513966480445,0.664804469273743,0.6739026126524186,0.7730368004213268,0.021368669518282604,0.16411711464578466,0.7967532467532468,0.001996007984031936,0.27077875684686825,308,50,0.16233766233766234,0.7,0.7368421052631579,0.4660633484162896,0.7877094972067039,0.8603351955307262,AgentOpenAI_Mixed,0.7877094972067039,overlap | AgentOpenAI_Mixed
jaccard,0.26,0.5369127516778524,0.020134228187919462,0.5167785234899329,0.46405684378407486,0.6082259834107866,0.006093023599389801,0.06443525124556457,0.9625706214689266,0.001996007984031936,0.21937701307996907,180,118,0.6555555555555556,0.2857142857142857,0.39472517730496454,0.17534816422499547,0.5570469798657718,0.6040268456375839,AgentOpenAI_300,0.5570469798657718,jaccard | AgentOpenAI_300
bert_cos,0.21,0.8575418994413407,0.13128491620111732,0.7262569832402235,0.8140944498615437,0.8921801782056094,0.06362724833291976,0.25155825172858903,0.7197402597402598,0.001996007984031936,0.11853766441345215,308,50,0.16233766233766234,0.7373674809932709,0.753484457731247,0.6349467933177948,0.9888268156424581,0.8603351955307262,AgentOpenAI_Mixed,0.9888268156424581,bert_cos | AgentOpenAI_Mixed
bert_cos,0.21,0.9240506329113924,0.05063291139240506,0.8734177215189873,0.8696163022401587,0.9568857109707153,0.005791186524348041,0.32810300619294064,0.6542980828695114,0.001996007984031936,0.2618667483329773,147,11,0.07482993197278912,0.7085409760475159,0.7185739278793335,0.4567071795463562,0.9746835443037974,0.930379746835443,Agent_OpenAI_MixedLiHua,0.9746835443037974,bert_cos | Agent_OpenAI_MixedLiHua
