metric,source_file,median_overall,median_true,median_false,median_gap,n_true,n_false
bert_cos,Agent_OpenAI_MixedLiHua,0.7085409760475159,0.7185739278793335,0.4567071795463562,0.2618667483329773,147,11
bert_cos,Agent_OpenAI_MixedSynthetic,0.749114453792572,0.7703970670700073,0.636258602142334,0.13413846492767334,161,39
bert_cos,AgentOpenAI_300,0.7415458559989929,0.7960936725139618,0.6641967594623566,0.13189691305160522,180,118
bert_cos,AgentOpenAI_Mixed,0.7373674809932709,0.753484457731247,0.6349467933177948,0.11853766441345215,308,50
jaccard,AgentOpenAI_300,0.2857142857142857,0.39472517730496454,0.17534816422499547,0.21937701307996907,180,118
jaccard,Agent_OpenAI_MixedSynthetic,0.3354166666666667,0.3717948717948718,0.1724137931034483,0.19938107869142352,161,39
jaccard,AgentOpenAI_Mixed,0.2727272727272727,0.29520697167755994,0.17165178571428572,0.12355518596327422,308,50
jaccard,Agent_OpenAI_MixedLiHua,0.15707236842105263,0.15789473684210525,0.045454545454545456,0.1124401913875598,147,11
overlap,Agent_OpenAI_MixedLiHua,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,147,11
overlap,AgentOpenAI_300,0.6666666666666666,0.7735042735042735,0.430952380952381,0.34255189255189256,180,118
overlap,Agent_OpenAI_MixedSynthetic,0.7182539682539683,0.7567567567567568,0.47058823529411764,0.28616852146263916,161,39
overlap,AgentOpenAI_Mixed,0.7,0.7368421052631579,0.4660633484162896,0.27077875684686825,308,50
token_recall,Agent_OpenAI_MixedLiHua,1.0,1.0,0.5,0.5,147,11
token_recall,AgentOpenAI_Mixed,0.8716540837336995,0.8923076923076924,0.553030303030303,0.3392773892773894,308,50
token_recall,AgentOpenAI_300,0.7564271588661833,0.8382737576285963,0.5094371418941692,0.32883661573442713,180,118
token_recall,Agent_OpenAI_MixedSynthetic,0.7864741641337386,0.8405797101449275,0.5606060606060606,0.27997364953886694,161,39
